"","x"
"1",1
"2",2
"3",2
"4",1
"5",1
"6",2
"7",1
"8",2
"9",2
"10",2
"11",2
"12",1
"13",1
"14",1
"15",2
"16",2
"17",1
"18",2
"19",2
"20",2
"21",2
"22",1
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",1
"31",1
"32",1
"33",2
"34",1
"35",1
"36",1
"37",1
"38",2
"39",2
"40",2
"41",2
"42",1
"43",1
"44",2
"45",1
"46",2
"47",1
"48",1
"49",1
"50",2
"51",2
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",2
"59",2
"60",2
"61",2
"62",1
"63",2
"64",2
"65",2
"66",2
"67",2
"68",2
"69",1
"70",1
"71",2
"72",2
"73",1
"74",2
"75",2
"76",1
"77",1
"78",1
"79",1
"80",2
"81",1
"82",1
"83",2
"84",2
"85",1
"86",2
"87",1
"88",2
"89",2
"90",1
"91",2
"92",2
"93",1
"94",1
"95",2
"96",2
"97",1
"98",2
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",2
"106",2
"107",2
"108",1
"109",2
"110",1
"111",1
"112",2
"113",2
"114",1
"115",1
"116",2
"117",1
"118",1
"119",1
"120",2
"121",1
"122",1
"123",1
"124",2
"125",2
"126",2
"127",1
"128",1
"129",2
"130",1
"131",1
"132",2
"133",2
"134",1
"135",2
"136",2
"137",2
"138",2
"139",2
"140",1
"141",2
"142",2
"143",1
"144",1
"145",2
"146",1
"147",2
"148",2
"149",1
"150",1
"151",1
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",1
"159",1
"160",2
"161",1
"162",1
"163",1
"164",1
"165",2
"166",1
"167",1
"168",1
"169",2
"170",2
"171",1
"172",1
"173",1
"174",2
"175",2
"176",1
"177",1
"178",2
"179",1
"180",1
"181",2
"182",2
"183",2
"184",2
"185",1
"186",2
"187",2
"188",2
"189",1
"190",1
"191",1
"192",2
"193",1
"194",1
"195",2
"196",2
"197",1
"198",1
"199",1
"200",1
"201",2
"202",2
"203",1
"204",2
"205",1
"206",2
"207",1
"208",1
"209",2
"210",2
"211",1
"212",2
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",2
"220",1
"221",2
"222",1
"223",1
"224",2
"225",2
"226",2
"227",2
"228",1
"229",2
"230",1
"231",1
"232",1
"233",1
"234",1
"235",2
"236",2
"237",2
"238",1
"239",1
"240",1
"241",2
"242",1
"243",2
"244",1
"245",2
"246",1
"247",1
"248",1
"249",1
"250",1
"251",2
"252",1
"253",1
"254",2
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",2
"262",2
"263",2
"264",2
"265",2
"266",2
"267",1
"268",1
"269",1
"270",2
"271",1
"272",2
"273",2
"274",1
"275",2
"276",1
"277",1
"278",2
"279",1
"280",1
"281",2
"282",1
"283",1
"284",1
"285",1
"286",2
"287",2
"288",1
"289",1
"290",1
"291",2
"292",2
"293",2
"294",2
"295",1
"296",2
"297",2
"298",2
"299",1
"300",2
"301",2
"302",1
"303",1
"304",1
"305",2
"306",2
"307",1
"308",1
"309",2
"310",2
"311",2
"312",2
"313",1
"314",1
"315",1
"316",2
"317",1
"318",2
"319",2
"320",1
"321",2
"322",2
"323",2
"324",1
"325",2
"326",2
"327",2
"328",1
"329",1
"330",1
"331",2
"332",2
"333",2
"334",2
"335",1
"336",1
"337",2
"338",2
"339",1
"340",1
"341",1
"342",2
"343",2
"344",2
"345",1
"346",2
"347",1
"348",2
"349",2
"350",1
"351",1
"352",2
"353",2
"354",1
"355",2
"356",1
"357",2
"358",1
"359",2
"360",1
"361",2
"362",2
"363",1
"364",2
"365",2
"366",1
"367",1
"368",2
"369",2
"370",1
"371",2
"372",2
"373",2
"374",1
"375",2
"376",1
"377",2
"378",1
"379",2
"380",1
"381",2
"382",1
"383",2
"384",1
"385",2
"386",1
"387",1
"388",1
"389",2
"390",1
"391",1
"392",2
"393",1
"394",1
"395",1
"396",2
"397",2
"398",2
"399",1
"400",2
"401",1
"402",2
"403",1
"404",1
"405",2
"406",2
"407",1
"408",2
"409",2
"410",2
"411",2
"412",1
"413",2
"414",1
"415",2
"416",1
"417",1
"418",1
"419",2
"420",2
"421",2
"422",2
"423",2
"424",2
"425",2
"426",2
"427",1
"428",2
"429",1
"430",1
"431",2
"432",2
"433",1
"434",2
"435",1
"436",1
"437",1
"438",1
"439",2
"440",2
"441",1
"442",1
"443",2
"444",1
"445",2
"446",1
"447",1
"448",1
"449",2
"450",2
"451",1
"452",1
"453",1
"454",1
"455",1
"456",2
"457",1
"458",1
"459",2
"460",1
"461",1
"462",1
"463",2
"464",1
"465",1
"466",1
"467",1
"468",1
"469",2
"470",1
"471",1
"472",2
"473",1
"474",1
"475",1
"476",1
"477",2
"478",2
"479",1
"480",2
"481",1
